# Table 4 (with some TeX removed) of
# Engle et al. 2014, ApJ, 794, 80
# https://ui.adsabs.harvard.edu/abs/2014ApJ...794...80E
         HJD &   phase &      V &     err &          HJD &   phase &     U_B &     err &          HJD &   phase &     B_V &     err &          HJD &   phase &     V_R &     err &          HJD &   phase &     R_I &     err
2455881.7127 & -0.1225 & 3.9351 &  0.0048 & 2455881.7272 & -0.1198 &  0.3862 &  0.0083 & 2455881.7127 & -0.1225 &  0.6463 &  0.0061 & 2455919.6215 & -0.0582 &  0.6572 &  0.0092 & 2455919.6217 & -0.0581 &  0.2988 &  0.0087
2455881.7274 & -0.1198 & 3.9171 &  0.0030 & 2455882.7385 &  0.0686 &  0.3482 &  0.0101 & 2455881.7273 & -0.1198 &  0.6407 &  0.0066 & 2455922.6360 & -0.4964 &  0.8478 &  0.0065 & 2455922.6361 & -0.4964 &  0.4338 &  0.0039
2455882.7387 &  0.0687 & 3.5467 &  0.0059 & 2455888.7206 &  0.1834 &  0.4150 &  0.0201 & 2455882.7386 &  0.0686 &  0.5016 &  0.0065 & 2455926.6212 &  0.2462 &  0.7505 &  0.0086 & 2455926.6214 &  0.2463 &  0.3917 &  0.0088
2455888.7209 &  0.1834 & 3.7327 &  0.0025 & 2455892.6967 & -0.0757 &  0.3329 &  0.0126 & 2455888.7208 &  0.1834 &  0.6285 &  0.0045 & 2455927.6224 &  0.4328 &  0.8066 &  0.0098 & 2455927.6225 &  0.4328 &  0.4227 &  0.0108
2455892.6969 & -0.0756 & 3.6782 &  0.0051 & 2455893.7072 &  0.1127 &  0.3696 &  0.0104 & 2455892.6968 & -0.0756 &  0.5418 &  0.0128 & 2455931.6091 &  0.1757 &  0.7170 &  0.0067 & 2455931.6092 &  0.1757 &  0.3588 &  0.0071
2455893.7074 &  0.1127 & 3.6233 &  0.0062 & 2455900.6873 &  0.4134 &  0.5663 &  0.0066 & 2455893.7073 &  0.1127 &  0.5509 &  0.0072 &  &  &  &  &  &  &  & 
2455900.6875 &  0.4134 & 4.0396 &  0.0048 & 2455911.6608 &  0.4583 &  0.5911 &  0.0063 & 2455900.6874 &  0.4134 &  0.7927 &  0.0068 &  &  &  &  &  &  &  & 
2455911.6610 &  0.4584 & 4.0806 &  0.0023 & 2455912.6201 & -0.3629 &  0.6577 &  0.0056 & 2455911.6609 &  0.4584 &  0.8116 &  0.0054 &  &  &  &  &  &  &  & 
2455912.6203 & -0.3629 & 4.2621 &  0.0061 & 2455919.5647 & -0.0688 &  0.3442 &  0.0165 & 2455912.6202 & -0.3629 &  0.8832 &  0.0077 &  &  &  &  &  &  &  & 
2455919.5649 & -0.0687 & 3.6346 &  0.0062 & 2455919.5793 & -0.0660 &  0.3317 &  0.0183 & 2455919.5648 & -0.0687 &  0.5022 &  0.0125 &  &  &  &  &  &  &  & 
2455919.5816 & -0.0656 & 3.6206 &  0.0063 & 2455919.5944 & -0.0632 &  0.3344 &  0.0118 & 2455919.5805 & -0.0658 &  0.5072 &  0.0098 &  &  &  &  &  &  &  & 
2455919.5946 & -0.0632 & 3.6030 &  0.0111 & 2455919.6066 & -0.0610 &  0.3326 &  0.0126 & 2455919.5946 & -0.0632 &  0.4904 &  0.0152 &  &  &  &  &  &  &  & 
2455919.6068 & -0.0609 & 3.5938 &  0.0103 & 2455919.6213 & -0.0582 &  0.3053 &  0.0177 & 2455919.6067 & -0.0609 &  0.4928 &  0.0126 &  &  &  &  &  &  &  & 
2455919.6215 & -0.0582 & 3.5778 &  0.0056 & 2455922.6358 & -0.4965 &  0.5951 &  0.0057 & 2455919.6214 & -0.0582 &  0.4911 &  0.0056 &  &  &  &  &  &  &  & 
2455922.6360 & -0.4964 & 4.1270 &  0.0054 & 2455926.6210 &  0.2462 &  0.4516 &  0.0113 & 2455922.6359 & -0.4964 &  0.8262 &  0.0065 &  &  &  &  &  &  &  & 
2455926.6211 &  0.2462 & 3.8209 &  0.0048 & 2455927.6222 &  0.4328 &  0.5737 &  0.0143 & 2455926.6211 &  0.2462 &  0.6892 &  0.0083 &  &  &  &  &  &  &  & 
2455927.6223 &  0.4328 & 4.0375 &  0.0060 & 2455931.6089 &  0.1757 &  0.3997 &  0.0097 & 2455927.6223 &  0.4328 &  0.8152 &  0.0090 &  &  &  &  &  &  &  & 
2455931.6091 &  0.1757 & 3.7166 &  0.0021 &              &         &         &         & 2455931.6090 &  0.1757 &  0.6286 &  0.0046 &  &  &  &  &  &  &  & 
